nprocs,runtime_mean,runtime_std,mem_mean,mem_std,cpu_std,algo,impl
48.0,198.43870743115744,9.62833350742282,76.03333333333333,0.6027713773341649,0.5791219079798606,kmeans,spark
96.0,207.1334946155548,7.4853804395650485,76.06666666666666,0.665832811847939,0.6081345993534355,kmeans,spark
192.0,214.44820324579874,2.307285223272714,76.46666666666665,0.7571877794400383,1.1005886751906004,kmeans,spark
384.0,420.62672686576843,9.233937687113723,76.76666666666667,0.2886751345948139,1.0965062699162857,kmeans,spark
720.0,499.20409448941547,27.12837044703827,76.3,0.09999999999999787,1.1496906766367323,kmeans,spark
48.0,99.21935371557872,9.62833350742282,76.03333333333333,0.6027713773341649,0.5791219079798606,kmeans,mega
96.0,103.5667473077774,7.4853804395650485,76.06666666666666,0.665832811847939,0.6081345993534355,kmeans,mega
192.0,107.22410162289937,2.307285223272714,76.46666666666665,0.7571877794400383,1.1005886751906004,kmeans,mega
384.0,210.31336343288422,9.233937687113723,76.76666666666667,0.2886751345948139,1.0965062699162857,kmeans,mega
720.0,249.60204724470773,27.12837044703827,76.3,0.09999999999999787,1.1496906766367323,kmeans,mega
