nprocs,runtime_mean,runtime_std,mem_mean,mem_std,cpu_std,algo,impl
48.0,35.071388959884644,0.46018065441175926,74.0,0.17320508075689225,0.20499220058618992,gray_scott,mpi
96.0,60.51635193824768,14.141797651058173,72.23333333333333,0.05773502691895929,0.5610320296466824,gray_scott,mpi
192.0,71.54395794868469,5.676687624910092,63.06666666666666,0.057735026918966474,0.19666220102317,gray_scott,mpi
384.0,99.8269255956014,11.955880088939596,51.0,0.0,0.21430678774161768,gray_scott,mpi
720.0,94.39777278900146,5.547244524043703,74.43333333333334,0.05773502691895929,0.19286290595564848,gray_scott,mpi
48.0,36.47424451828003,0.46018065441175926,74.0,0.17320508075689225,0.20499220058618992,gray_scott,mega
96.0,62.93700601577759,14.141797651058173,72.23333333333333,0.05773502691895929,0.5610320296466824,gray_scott,mega
192.0,74.40571626663208,5.676687624910092,63.06666666666666,0.057735026918966474,0.19666220102317,gray_scott,mega
384.0,103.82000261942545,11.955880088939596,51.0,0.0,0.21430678774161768,gray_scott,mega
720.0,98.17368370056153,5.547244524043703,74.43333333333334,0.05773502691895929,0.19286290595564848,gray_scott,mega
